"Step","MNIST_No-rotation_Ponder - val/steps","MNIST_No-rotation_Ponder - val/steps__MIN","MNIST_No-rotation_Ponder - val/steps__MAX"
"502","5.1861443519592285","5.1861443519592285","5.1861443519592285"
"507","5.910642623901367","5.910642623901367","5.910642623901367"
"513","6.610040187835693","6.610040187835693","6.610040187835693"
"518","6.253413677215576","6.253413677215576","6.253413677215576"
"523","6.816465854644775","6.816465854644775","6.816465854644775"
"529","6.018875598907471","6.018875598907471","6.018875598907471"
"534","5.72570276260376","5.72570276260376","5.72570276260376"
"539","5.860240936279297","5.860240936279297","5.860240936279297"
"544","6.578112602233887","6.578112602233887","6.578112602233887"
"550","6.1909637451171875","6.1909637451171875","6.1909637451171875"
"555","5.487951755523682","5.487951755523682","5.487951755523682"
"560","5.80160665512085","5.80160665512085","5.80160665512085"
"566","5.641566276550293","5.641566276550293","5.641566276550293"
"571","6.379919528961182","6.379919528961182","6.379919528961182"
"576","6.570481777191162","6.570481777191162","6.570481777191162"
"582","6.2349395751953125","6.2349395751953125","6.2349395751953125"
"587","6.0024094581604","6.0024094581604","6.0024094581604"
"592","5.80763053894043","5.80763053894043","5.80763053894043"
"597","5.281726837158203","5.281726837158203","5.281726837158203"
"603","5.879718780517578","5.879718780517578","5.879718780517578"
"608","7.595381736755371","7.595381736755371","7.595381736755371"
"613","6.704819202423096","6.704819202423096","6.704819202423096"
"619","5.985542297363281","5.985542297363281","5.985542297363281"
"624","6.215863227844238","6.215863227844238","6.215863227844238"
"629","7.415261268615723","7.415261268615723","7.415261268615723"
"635","6.028714656829834","6.028714656829834","6.028714656829834"
"640","7.479116439819336","7.479116439819336","7.479116439819336"
"645","5.637148380279541","5.637148380279541","5.637148380279541"
"650","6.889959812164307","6.889959812164307","6.889959812164307"
"656","7.398795127868652","7.398795127868652","7.398795127868652"
"661","6.312851428985596","6.312851428985596","6.312851428985596"
"666","6.315060138702393","6.315060138702393","6.315060138702393"
"672","7.211847305297852","7.211847305297852","7.211847305297852"
"677","5.370281219482422","5.370281219482422","5.370281219482422"
"682","6.0534138679504395","6.0534138679504395","6.0534138679504395"
"688","5.917269229888916","5.917269229888916","5.917269229888916"
"693","6.1913652420043945","6.1913652420043945","6.1913652420043945"
"698","6.140562057495117","6.140562057495117","6.140562057495117"
"703","8.416064262390137","8.416064262390137","8.416064262390137"
"709","5.279116630554199","5.279116630554199","5.279116630554199"
"714","8.02008056640625","8.02008056640625","8.02008056640625"
"719","7.227911472320557","7.227911472320557","7.227911472320557"
"725","6.463654518127441","6.463654518127441","6.463654518127441"
"730","5.961847305297852","5.961847305297852","5.961847305297852"
"735","6.422490119934082","6.422490119934082","6.422490119934082"
"741","5.881927490234375","5.881927490234375","5.881927490234375"
"746","7.61405611038208","7.61405611038208","7.61405611038208"
"751","7.441967964172363","7.441967964172363","7.441967964172363"
"756","5.377108573913574","5.377108573913574","5.377108573913574"
"762","5.613654613494873","5.613654613494873","5.613654613494873"
"767","5.876907825469971","5.876907825469971","5.876907825469971"
"772","6.49638557434082","6.49638557434082","6.49638557434082"
"778","5.617269039154053","5.617269039154053","5.617269039154053"
