"Step","CIFAR10_No-rotation_Ponder - val/steps","CIFAR10_No-rotation_Ponder - val/steps__MIN","CIFAR10_No-rotation_Ponder - val/steps__MAX"
"191","12.615903854370117","12.615903854370117","12.615903854370117"
"196","15.148674964904785","15.148674964904785","15.148674964904785"
"200","15.980240821838379","15.980240821838379","15.980240821838379"
"205","16.891565322875977","16.891565322875977","16.891565322875977"
"209","15.994939804077148","15.994939804077148","15.994939804077148"
"214","15.706024169921875","15.706024169921875","15.706024169921875"
"219","15.423855781555176","15.423855781555176","15.423855781555176"
"223","16.600481033325195","16.600481033325195","16.600481033325195"
"228","16.170602798461914","16.170602798461914","16.170602798461914"
"232","16.625301361083984","16.625301361083984","16.625301361083984"
"237","16.940723419189453","16.940723419189453","16.940723419189453"
"242","16.9351806640625","16.9351806640625","16.9351806640625"
"246","16.589397430419922","16.589397430419922","16.589397430419922"
"251","16.91108512878418","16.91108512878418","16.91108512878418"
"255","16.035181045532227","16.035181045532227","16.035181045532227"
"260","16.250120162963867","16.250120162963867","16.250120162963867"
"264","16.91469955444336","16.91469955444336","16.91469955444336"
"269","16.269880294799805","16.269880294799805","16.269880294799805"
"274","17.533493041992188","17.533493041992188","17.533493041992188"
"278","17.370121002197266","17.370121002197266","17.370121002197266"
"283","16.506023406982422","16.506023406982422","16.506023406982422"
"287","16.671566009521484","16.671566009521484","16.671566009521484"
"292","17.13951873779297","17.13951873779297","17.13951873779297"
"297","16.629878997802734","16.629878997802734","16.629878997802734"
"301","15.70650577545166","15.70650577545166","15.70650577545166"
"306","16.966747283935547","16.966747283935547","16.966747283935547"
"310","17.089157104492188","17.089157104492188","17.089157104492188"
"315","16.293975830078125","16.293975830078125","16.293975830078125"
"319","17.00771141052246","17.00771141052246","17.00771141052246"
"324","17.804336547851562","17.804336547851562","17.804336547851562"
"329","17.146987915039062","17.146987915039062","17.146987915039062"
"333","17.33493995666504","17.33493995666504","17.33493995666504"
"338","17.23807144165039","17.23807144165039","17.23807144165039"
"342","17.336145401000977","17.336145401000977","17.336145401000977"
"347","16.137107849121094","16.137107849121094","16.137107849121094"
"352","17.93879508972168","17.93879508972168","17.93879508972168"
"356","17.655179977416992","17.655179977416992","17.655179977416992"
"361","16.952770233154297","16.952770233154297","16.952770233154297"
"365","16.429880142211914","16.429880142211914","16.429880142211914"
"370","17.218795776367188","17.218795776367188","17.218795776367188"
"374","16.80096435546875","16.80096435546875","16.80096435546875"
"379","16.540964126586914","16.540964126586914","16.540964126586914"
"384","17.58385467529297","17.58385467529297","17.58385467529297"
"388","17.63228988647461","17.63228988647461","17.63228988647461"
"393","17.69903564453125","17.69903564453125","17.69903564453125"
"397","17.787229537963867","17.787229537963867","17.787229537963867"
"402","17.1200008392334","17.1200008392334","17.1200008392334"
"407","16.497831344604492","16.497831344604492","16.497831344604492"
"411","17.52674674987793","17.52674674987793","17.52674674987793"
"416","17.298795700073242","17.298795700073242","17.298795700073242"
"420","17.988433837890625","17.988433837890625","17.988433837890625"
"425","17.29108428955078","17.29108428955078","17.29108428955078"
"429","17.507469177246094","17.507469177246094","17.507469177246094"
"434","16.165782928466797","16.165782928466797","16.165782928466797"
"439","17.356386184692383","17.356386184692383","17.356386184692383"
"443","17.608915328979492","17.608915328979492","17.608915328979492"
"448","17.848915100097656","17.848915100097656","17.848915100097656"
"452","17.556867599487305","17.556867599487305","17.556867599487305"
"457","16.86216926574707","16.86216926574707","16.86216926574707"
"462","18.112289428710938","18.112289428710938","18.112289428710938"
"466","16.933494567871094","16.933494567871094","16.933494567871094"
"471","16.85494041442871","16.85494041442871","16.85494041442871"
"475","17.650602340698242","17.650602340698242","17.650602340698242"
"480","17.99373435974121","17.99373435974121","17.99373435974121"
"485","17.845300674438477","17.845300674438477","17.845300674438477"
"489","17.616626739501953","17.616626739501953","17.616626739501953"
"494","17.533493041992188","17.533493041992188","17.533493041992188"
"498","17.613252639770508","17.613252639770508","17.613252639770508"
"503","17.836868286132812","17.836868286132812","17.836868286132812"
"507","17.273012161254883","17.273012161254883","17.273012161254883"
